Año,Clave_Ent,Entidad,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,4,CAMPECHE,Homicidio,Homicidio doloso,Con arma blanca,1.0,2.0,6.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0
2015,4,CAMPECHE,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
2015,4,CAMPECHE,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con arma de fuego,28.0,11.0,15.0,12.0,8.0,9.0,15.0,8.0,7.0,7.0,6.0,13.0
2015,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con arma blanca,6.0,3.0,3.0,3.0,5.0,4.0,3.0,7.0,4.0,1.0,5.0,5.0
2015,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con otro elemento,16.0,7.0,14.0,7.0,11.0,1.0,5.0,6.0,4.0,4.0,6.0,8.0
2015,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,No especificado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,6,COLIMA,Homicidio,Homicidio doloso,Con arma de fuego,6.0,6.0,10.0,6.0,12.0,9.0,7.0,5.0,14.0,14.0,17.0,17.0
2015,6,COLIMA,Homicidio,Homicidio doloso,Con arma blanca,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0
2015,6,COLIMA,Homicidio,Homicidio doloso,Con otro elemento,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,7.0
2015,6,COLIMA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2015,7,CHIAPAS,Homicidio,Homicidio doloso,Con arma de fuego,13.0,10.0,11.0,17.0,11.0,15.0,11.0,17.0,20.0,17.0,17.0,12.0
2015,7,CHIAPAS,Homicidio,Homicidio doloso,Con arma blanca,9.0,8.0,9.0,12.0,7.0,9.0,9.0,11.0,12.0,12.0,6.0,8.0
2015,7,CHIAPAS,Homicidio,Homicidio doloso,Con otro elemento,15.0,22.0,12.0,19.0,22.0,14.0,14.0,29.0,21.0,16.0,17.0,18.0
2015,7,CHIAPAS,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con arma de fuego,61.0,63.0,52.0,32.0,54.0,49.0,46.0,60.0,33.0,39.0,36.0,38.0
2015,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con arma blanca,12.0,11.0,8.0,11.0,15.0,27.0,16.0,15.0,10.0,10.0,8.0,6.0
2015,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con otro elemento,21.0,13.0,23.0,20.0,18.0,23.0,22.0,22.0,16.0,21.0,16.0,18.0
2015,8,CHIHUAHUA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9,CIUDAD DE MEXICO,Homicidio,Homicidio doloso,Con arma de fuego,40.0,31.0,35.0,38.0,42.0,33.0,39.0,39.0,36.0,37.0,48.0,39.0
2015,9,CIUDAD DE MEXICO,Homicidio,Homicidio doloso,Con arma blanca,4.0,12.0,9.0,14.0,13.0,15.0,14.0,12.0,14.0,14.0,13.0,14.0
2015,9,CIUDAD DE MEXICO,Homicidio,Homicidio doloso,Con otro elemento,11.0,17.0,11.0,19.0,23.0,20.0,18.0,16.0,18.0,15.0,10.0,15.0
2015,9,CIUDAD DE MEXICO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,10,DURANGO,Homicidio,Homicidio doloso,Con arma de fuego,15.0,15.0,23.0,21.0,14.0,12.0,18.0,9.0,8.0,13.0,9.0,13.0
2015,10,DURANGO,Homicidio,Homicidio doloso,Con arma blanca,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,6.0
2015,10,DURANGO,Homicidio,Homicidio doloso,Con otro elemento,2.0,4.0,6.0,6.0,5.0,5.0,1.0,5.0,2.0,1.0,4.0,3.0
2015,10,DURANGO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,11,GUANAJUATO,Homicidio,Homicidio doloso,Con arma de fuego,40.0,46.0,45.0,48.0,44.0,57.0,43.0,60.0,49.0,65.0,55.0,48.0
2015,11,GUANAJUATO,Homicidio,Homicidio doloso,Con arma blanca,7.0,8.0,8.0,8.0,8.0,18.0,12.0,15.0,18.0,6.0,6.0,11.0
2015,11,GUANAJUATO,Homicidio,Homicidio doloso,Con otro elemento,15.0,10.0,6.0,12.0,14.0,7.0,5.0,16.0,21.0,15.0,7.0,10.0
2015,11,GUANAJUATO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,12,GUERRERO,Homicidio,Homicidio doloso,Con arma de fuego,79.0,80.0,90.0,120.0,126.0,89.0,122.0,128.0,114.0,104.0,123.0,125.0
2015,12,GUERRERO,Homicidio,Homicidio doloso,Con arma blanca,9.0,14.0,7.0,10.0,7.0,8.0,9.0,12.0,6.0,10.0,9.0,11.0
2015,12,GUERRERO,Homicidio,Homicidio doloso,Con otro elemento,50.0,46.0,58.0,64.0,42.0,44.0,48.0,59.0,43.0,53.0,41.0,56.0
2015,12,GUERRERO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,13,HIDALGO,Homicidio,Homicidio doloso,Con arma de fuego,4.0,6.0,5.0,1.0,2.0,3.0,5.0,9.0,8.0,7.0,6.0,9.0
2015,13,HIDALGO,Homicidio,Homicidio doloso,Con arma blanca,0.0,6.0,4.0,4.0,2.0,0.0,2.0,2.0,6.0,2.0,1.0,1.0
2015,13,HIDALGO,Homicidio,Homicidio doloso,Con otro elemento,0.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,7.0,11.0,5.0,4.0
2015,13,HIDALGO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,JALISCO,Homicidio,Homicidio doloso,Con arma de fuego,41.0,40.0,27.0,44.0,38.0,43.0,47.0,33.0,38.0,53.0,53.0,54.0
2015,14,JALISCO,Homicidio,Homicidio doloso,Con arma blanca,15.0,9.0,5.0,20.0,15.0,17.0,10.0,17.0,17.0,14.0,12.0,11.0
2015,14,JALISCO,Homicidio,Homicidio doloso,Con otro elemento,19.0,15.0,13.0,9.0,15.0,11.0,19.0,16.0,24.0,15.0,25.0,27.0
2015,14,JALISCO,Homicidio,Homicidio doloso,No especificado,4.0,4.0,7.0,5.0,5.0,4.0,12.0,14.0,3.0,6.0,6.0,6.0
2015,15,MEXICO,Homicidio,Homicidio doloso,Con arma de fuego,107.0,94.0,94.0,104.0,106.0,107.0,88.0,97.0,119.0,105.0,110.0,119.0
2015,15,MEXICO,Homicidio,Homicidio doloso,Con arma blanca,13.0,19.0,21.0,21.0,21.0,28.0,15.0,21.0,25.0,17.0,28.0,15.0
2015,15,MEXICO,Homicidio,Homicidio doloso,Con otro elemento,47.0,33.0,52.0,54.0,58.0,47.0,43.0,36.0,44.0,39.0,29.0,45.0
2015,15,MEXICO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,16,MICHOACAN DE OCAMPO,Homicidio,Homicidio doloso,Con arma de fuego,32.0,23.0,23.0,31.0,31.0,28.0,37.0,42.0,33.0,39.0,53.0,62.0
2015,16,MICHOACAN DE OCAMPO,Homicidio,Homicidio doloso,Con arma blanca,6.0,3.0,7.0,9.0,7.0,4.0,11.0,11.0,7.0,9.0,6.0,4.0
2015,16,MICHOACAN DE OCAMPO,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2015,16,MICHOACAN DE OCAMPO,Homicidio,Homicidio doloso,No especificado,19.0,20.0,13.0,11.0,22.0,33.0,25.0,26.0,15.0,24.0,13.0,20.0
2015,17,MORELOS,Homicidio,Homicidio doloso,Con arma de fuego,13.0,12.0,16.0,18.0,11.0,14.0,19.0,19.0,23.0,11.0,17.0,24.0
2015,17,MORELOS,Homicidio,Homicidio doloso,Con arma blanca,2.0,14.0,10.0,3.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,3.0
2015,17,MORELOS,Homicidio,Homicidio doloso,Con otro elemento,10.0,11.0,19.0,12.0,16.0,20.0,15.0,17.0,19.0,15.0,18.0,21.0
2015,17,MORELOS,Homicidio,Homicidio doloso,No especificado,4.0,0.0,14.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,18,NAYARIT,Homicidio,Homicidio doloso,Con arma de fuego,3.0,3.0,3.0,4.0,2.0,6.0,6.0,4.0,2.0,2.0,6.0,2.0
2015,18,NAYARIT,Homicidio,Homicidio doloso,Con arma blanca,1.0,1.0,2.0,1.0,0.0,3.0,2.0,5.0,3.0,2.0,0.0,1.0
2015,18,NAYARIT,Homicidio,Homicidio doloso,Con otro elemento,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0
2015,18,NAYARIT,Homicidio,Homicidio doloso,No especificado,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
2015,19,NUEVO LEON,Homicidio,Homicidio doloso,Con arma de fuego,21.0,17.0,17.0,18.0,20.0,35.0,12.0,17.0,20.0,30.0,10.0,14.0
2015,19,NUEVO LEON,Homicidio,Homicidio doloso,Con arma blanca,7.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,13.0,7.0,3.0,5.0
2015,19,NUEVO LEON,Homicidio,Homicidio doloso,Con otro elemento,6.0,6.0,8.0,6.0,12.0,10.0,11.0,11.0,16.0,13.0,12.0,12.0
2015,19,NUEVO LEON,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,20,OAXACA,Homicidio,Homicidio doloso,Con arma de fuego,0.0,36.0,0.0,0.0,36.0,0.0,0.0,29.0,0.0,0.0,35.0,0.0
2015,20,OAXACA,Homicidio,Homicidio doloso,Con arma blanca,0.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0
2015,20,OAXACA,Homicidio,Homicidio doloso,Con otro elemento,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0
2015,20,OAXACA,Homicidio,Homicidio doloso,No especificado,0.0,5.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0
2015,21,PUEBLA,Homicidio,Homicidio doloso,Con arma de fuego,16.0,18.0,23.0,23.0,26.0,21.0,22.0,28.0,27.0,27.0,34.0,17.0
2015,21,PUEBLA,Homicidio,Homicidio doloso,Con arma blanca,10.0,6.0,7.0,5.0,6.0,16.0,10.0,12.0,5.0,8.0,13.0,9.0
2015,21,PUEBLA,Homicidio,Homicidio doloso,Con otro elemento,13.0,11.0,7.0,10.0,8.0,2.0,9.0,7.0,11.0,13.0,7.0,6.0
2015,21,PUEBLA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,22,QUERETARO,Homicidio,Homicidio doloso,Con arma de fuego,7.0,4.0,3.0,4.0,5.0,3.0,6.0,3.0,4.0,6.0,4.0,3.0
2015,22,QUERETARO,Homicidio,Homicidio doloso,Con arma blanca,0.0,0.0,4.0,3.0,4.0,2.0,2.0,6.0,2.0,7.0,7.0,3.0
2015,22,QUERETARO,Homicidio,Homicidio doloso,Con otro elemento,2.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0
2015,22,QUERETARO,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
2015,23,QUINTANA ROO,Homicidio,Homicidio doloso,Con arma de fuego,1.0,0.0,1.0,4.0,2.0,7.0,3.0,3.0,5.0,3.0,2.0,0.0
2015,23,QUINTANA ROO,Homicidio,Homicidio doloso,Con arma blanca,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,5.0,4.0
2015,23,QUINTANA ROO,Homicidio,Homicidio doloso,Con otro elemento,11.0,8.0,6.0,13.0,5.0,12.0,10.0,16.0,11.0,15.0,9.0,5.0
2015,23,QUINTANA ROO,Homicidio,Homicidio doloso,No especificado,1.0,2.0,1.0,2.0,2.0,2.0,5.0,8.0,8.0,3.0,11.0,3.0
2015,24,SAN LUIS POTOSI,Homicidio,Homicidio doloso,Con arma de fuego,11.0,10.0,3.0,5.0,14.0,10.0,11.0,14.0,5.0,10.0,13.0,14.0
2015,24,SAN LUIS POTOSI,Homicidio,Homicidio doloso,Con arma blanca,2.0,1.0,6.0,1.0,5.0,9.0,7.0,2.0,2.0,4.0,6.0,4.0
2015,24,SAN LUIS POTOSI,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,24,SAN LUIS POTOSI,Homicidio,Homicidio doloso,No especificado,6.0,2.0,6.0,7.0,0.0,2.0,4.0,3.0,10.0,12.0,4.0,10.0
2015,25,SINALOA,Homicidio,Homicidio doloso,Con arma de fuego,43.0,59.0,44.0,62.0,74.0,59.0,49.0,62.0,55.0,58.0,63.0,58.0
2015,25,SINALOA,Homicidio,Homicidio doloso,Con arma blanca,6.0,3.0,5.0,4.0,2.0,3.0,10.0,3.0,3.0,5.0,3.0,2.0
2015,25,SINALOA,Homicidio,Homicidio doloso,Con otro elemento,4.0,4.0,5.0,3.0,8.0,7.0,10.0,10.0,7.0,5.0,13.0,13.0
2015,25,SINALOA,Homicidio,Homicidio doloso,No especificado,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0
2015,26,SONORA,Homicidio,Homicidio doloso,Con arma de fuego,23.0,19.0,34.0,16.0,30.0,38.0,34.0,50.0,22.0,36.0,20.0,19.0
2015,26,SONORA,Homicidio,Homicidio doloso,Con arma blanca,4.0,7.0,3.0,10.0,3.0,6.0,13.0,9.0,15.0,12.0,11.0,1.0
2015,26,SONORA,Homicidio,Homicidio doloso,Con otro elemento,9.0,17.0,15.0,6.0,24.0,18.0,20.0,10.0,11.0,8.0,10.0,6.0
2015,26,SONORA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,27,TABASCO,Homicidio,Homicidio doloso,Con arma de fuego,4.0,3.0,6.0,3.0,1.0,3.0,2.0,7.0,3.0,6.0,2.0,2.0
2015,27,TABASCO,Homicidio,Homicidio doloso,Con arma blanca,2.0,2.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0
2015,27,TABASCO,Homicidio,Homicidio doloso,Con otro elemento,4.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
2015,27,TABASCO,Homicidio,Homicidio doloso,No especificado,13.0,5.0,8.0,9.0,15.0,16.0,23.0,11.0,13.0,12.0,13.0,15.0
2015,28,TAMAULIPAS,Homicidio,Homicidio doloso,Con arma de fuego,12.0,37.0,25.0,21.0,23.0,21.0,18.0,25.0,13.0,15.0,21.0,10.0
2015,28,TAMAULIPAS,Homicidio,Homicidio doloso,Con arma blanca,7.0,11.0,9.0,11.0,12.0,7.0,6.0,10.0,10.0,6.0,3.0,5.0
2015,28,TAMAULIPAS,Homicidio,Homicidio doloso,Con otro elemento,17.0,18.0,17.0,24.0,9.0,19.0,21.0,11.0,14.0,7.0,15.0,13.0
2015,28,TAMAULIPAS,Homicidio,Homicidio doloso,No especificado,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
2015,29,TLAXCALA,Homicidio,Homicidio doloso,Con arma de fuego,3.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0
2015,29,TLAXCALA,Homicidio,Homicidio doloso,Con arma blanca,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2015,29,TLAXCALA,Homicidio,Homicidio doloso,Con otro elemento,2.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0
2015,29,TLAXCALA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,30,VERACRUZ DE IGNACIO DE LA LLAVE,Homicidio,Homicidio doloso,Con arma de fuego,12.0,12.0,18.0,12.0,14.0,12.0,17.0,16.0,15.0,22.0,23.0,19.0
2015,30,VERACRUZ DE IGNACIO DE LA LLAVE,Homicidio,Homicidio doloso,Con arma blanca,3.0,7.0,2.0,5.0,6.0,3.0,6.0,4.0,5.0,7.0,9.0,5.0
2015,30,VERACRUZ DE IGNACIO DE LA LLAVE,Homicidio,Homicidio doloso,Con otro elemento,12.0,15.0,19.0,18.0,15.0,20.0,31.0,31.0,26.0,25.0,27.0,32.0
2015,30,VERACRUZ DE IGNACIO DE LA LLAVE,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,31,YUCATAN,Homicidio,Homicidio doloso,Con arma de fuego,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0
2015,31,YUCATAN,Homicidio,Homicidio doloso,Con arma blanca,1.0,1.0,3.0,1.0,6.0,1.0,3.0,0.0,3.0,1.0,1.0,5.0
2015,31,YUCATAN,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0
2015,31,YUCATAN,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,32,ZACATECAS,Homicidio,Homicidio doloso,Con arma de fuego,9.0,13.0,16.0,10.0,6.0,14.0,18.0,9.0,16.0,15.0,18.0,15.0
2015,32,ZACATECAS,Homicidio,Homicidio doloso,Con arma blanca,1.0,2.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0
2015,32,ZACATECAS,Homicidio,Homicidio doloso,Con otro elemento,12.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0
2015,32,ZACATECAS,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con arma de fuego,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
2016,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con arma blanca,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0
2016,1,AGUASCALIENTES,Homicidio,Homicidio doloso,Con otro elemento,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2016,1,AGUASCALIENTES,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con arma de fuego,52.0,47.0,57.0,45.0,64.0,48.0,58.0,45.0,78.0,64.0,88.0,92.0
2016,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con arma blanca,9.0,8.0,13.0,5.0,11.0,13.0,17.0,14.0,16.0,12.0,11.0,17.0
2016,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,Con otro elemento,24.0,14.0,14.0,20.0,23.0,15.0,28.0,17.0,23.0,23.0,20.0,19.0
2016,2,BAJA CALIFORNIA,Homicidio,Homicidio doloso,No especificado,2.0,2.0,4.0,5.0,0.0,5.0,1.0,5.0,9.0,1.0,5.0,5.0
2016,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con arma de fuego,3.0,3.0,4.0,8.0,7.0,14.0,10.0,27.0,27.0,20.0,29.0,28.0
2016,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con arma blanca,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0
2016,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,Con otro elemento,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
2016,3,BAJA CALIFORNIA SUR,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2016,4,CAMPECHE,Homicidio,Homicidio doloso,Con arma de fuego,3.0,0.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,3.0,4.0,5.0
2016,4,CAMPECHE,Homicidio,Homicidio doloso,Con arma blanca,4.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0
2016,4,CAMPECHE,Homicidio,Homicidio doloso,Con otro elemento,5.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0
2016,4,CAMPECHE,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con arma de fuego,6.0,7.0,12.0,6.0,14.0,6.0,6.0,9.0,7.0,6.0,9.0,9.0
2016,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con arma blanca,4.0,4.0,1.0,9.0,6.0,4.0,7.0,2.0,3.0,3.0,2.0,1.0
2016,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,Con otro elemento,6.0,4.0,4.0,8.0,12.0,7.0,4.0,3.0,5.0,5.0,3.0,7.0
2016,5,COAHUILA DE ZARAGOZA,Homicidio,Homicidio doloso,No especificado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,6,COLIMA,Homicidio,Homicidio doloso,Con arma de fuego,24.0,26.0,29.0,36.0,28.0,26.0,34.0,33.0,27.0,31.0,41.0,42.0
2016,6,COLIMA,Homicidio,Homicidio doloso,Con arma blanca,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0
2016,6,COLIMA,Homicidio,Homicidio doloso,Con otro elemento,3.0,11.0,16.0,13.0,7.0,4.0,6.0,6.0,12.0,7.0,5.0,8.0
2016,6,COLIMA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2016,7,CHIAPAS,Homicidio,Homicidio doloso,Con arma de fuego,12.0,9.0,19.0,9.0,9.0,19.0,10.0,14.0,14.0,26.0,18.0,19.0
2016,7,CHIAPAS,Homicidio,Homicidio doloso,Con arma blanca,10.0,9.0,7.0,12.0,10.0,6.0,12.0,12.0,4.0,6.0,8.0,8.0
2016,7,CHIAPAS,Homicidio,Homicidio doloso,Con otro elemento,14.0,16.0,14.0,14.0,15.0,15.0,17.0,14.0,20.0,18.0,18.0,11.0
2016,7,CHIAPAS,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con arma de fuego,55.0,42.0,39.0,53.0,68.0,52.0,62.0,86.0,83.0,119.0,66.0,65.0
2016,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con arma blanca,9.0,9.0,12.0,11.0,19.0,18.0,17.0,8.0,19.0,16.0,19.0,18.0
2016,8,CHIHUAHUA,Homicidio,Homicidio doloso,Con otro elemento,13.0,13.0,24.0,26.0,23.0,26.0,25.0,23.0,24.0,23.0,21.0,26.0
2016,8,CHIHUAHUA,Homicidio,Homicidio doloso,No especificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,9,CIUDAD DE MEXICO,Homicidio,Homicidio doloso,Con arma de fuego,34.0,36.0,30.0,42.0,44.0,42.0,47.0,43.0,59.0,52.0,54.0,73.0
